2017-05-01 21:08:45,146 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/focusnetworks/workspace-neon-jaspersoft/Projects-Java/curso-jasper-spring-jpa/src/test/resources
2017-05-01 21:08:45,390 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 21:08:45,391 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 21:08:45,394 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 21:08:45,395 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/focusnetworks/workspace-neon-jaspersoft/Projects-Java/curso-jasper-spring-jpa/src/test/resources
2017-05-01 21:08:45,596 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 21:08:45,597 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 21:08:45,598 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 21:08:45,599 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/focusnetworks/workspace-neon-jaspersoft/Projects-Java/curso-jasper-spring-jpa/src/test/resources
2017-05-01 21:08:45,859 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 21:08:45,860 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 21:08:45,861 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 21:08:45,875 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/focusnetworks/workspace-neon-jaspersoft/Projects-Java/curso-jasper-spring-jpa/src/test/resources
2017-05-01 21:08:59,324 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-01 21:08:59,325 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 21:08:59,349 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2017-05-01 21:08:59,407 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-01 21:08:59,407 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/focusnetworks/workspace-neon-jaspersoft/Projects-Java/curso-spring-web/src/test/resources
